City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bambous Virieux,MU,2021-06-03 03:05:46,-20.3428,57.7575,75.22,66,57,20.04
68,East London,ZA,2021-06-03 03:05:47,-33.0153,27.9116,61.3,71,100,17.49
69,Pimenta Bueno,BR,2021-06-03 03:03:04,-11.6725,-61.1936,71.78,77,4,2.17
70,North Bend,US,2021-06-03 03:05:48,43.4065,-124.2243,64.98,86,1,11.5
71,Kampong Thum,KH,2021-06-03 03:05:48,12.7111,104.8887,92.52,55,50,3.24
72,Pangai,TO,2021-06-03 03:05:49,-19.8,-174.35,73.51,78,75,5.75
73,Caramay,PH,2021-06-03 03:05:50,10.1815,119.236,87.62,66,84,8.21
74,Half Moon Bay,US,2021-06-03 03:05:50,37.4636,-122.4286,71.33,82,90,8.05
75,Sakakah,SA,2021-06-03 03:05:51,29.9697,40.2064,78.98,22,0,9.26
76,Tiksi,RU,2021-06-03 03:05:51,71.6872,128.8694,50.81,58,84,14.85
77,Presidente Medici,BR,2021-06-03 03:05:52,-11.1753,-61.9014,72.66,74,6,1.07
78,Rovaniemi,FI,2021-06-03 03:05:53,66.5,25.7167,60.21,55,0,5.75
79,Bilma,NE,2021-06-03 03:05:53,18.6853,12.9164,88.52,10,7,7.99
80,Bluff,NZ,2021-06-03 03:05:54,-46.6,168.3333,49.8,78,77,6.33
81,Castelnaudary,FR,2021-06-03 03:05:55,43.3183,1.9545,64.89,88,66,8.99
82,Rossosh,RU,2021-06-03 03:05:55,51.1209,38.5116,52.41,80,100,17.34
83,Avarua,CK,2021-06-03 03:05:56,-21.2078,-159.775,80.65,69,40,5.75
84,Lasa,IT,2021-06-03 03:05:56,46.6166,10.7002,49.62,90,52,1.1
85,Lewiston,US,2021-06-03 03:05:57,44.1003,-70.2148,64.81,75,1,6.91
86,Trairi,BR,2021-06-03 03:04:47,-3.2778,-39.2689,77.18,83,4,10.09
87,Acapulco,MX,2021-06-03 03:05:58,16.8634,-99.8901,83.19,78,10,7.11
88,Barguzin,RU,2021-06-03 03:05:59,53.6167,109.6167,67.98,45,35,4.79
89,Leningradskiy,RU,2021-06-03 03:05:59,69.3833,178.4167,31.19,84,27,11.03
90,Barkhera,IN,2021-06-03 03:06:00,28.45,79.8,90.21,35,2,2.93
91,Kholodnyy,RU,2021-06-03 03:06:01,62.7167,147.95,52.88,46,100,6.87
92,Ilulissat,GL,2021-06-03 03:06:01,69.2167,-51.1,42.82,56,4,1.14
93,Saint George,US,2021-06-03 03:06:02,37.1041,-113.5841,97.39,9,1,8.05
94,San Quintin,MX,2021-06-03 03:06:03,30.4833,-115.95,61.83,85,98,8.59
95,Tlapacoyan,MX,2021-06-03 03:06:03,19.9667,-97.2167,71.78,97,100,2.3
96,Khatanga,RU,2021-06-03 03:06:04,71.9667,102.5,37.98,70,74,5.37
97,Jamestown,US,2021-06-03 03:01:34,42.097,-79.2353,61.3,90,100,1.01
98,Upernavik,GL,2021-06-03 03:06:05,72.7868,-56.1549,27.39,89,67,6.82
99,Oudtshoorn,ZA,2021-06-03 03:06:06,-33.5907,22.2014,52.16,93,16,2.75
100,Turayf,SA,2021-06-03 03:02:11,31.6725,38.6637,68.43,31,0,7.56
101,Matongo,TZ,2021-06-03 03:06:07,-2.3833,34.0833,62.44,79,100,3.87
102,Balashov,RU,2021-06-03 03:06:07,51.5502,43.1667,54.19,69,100,13.94
103,Butaritari,KI,2021-06-03 03:06:08,3.0707,172.7902,82.33,78,100,12.3
104,Laguna,US,2021-06-03 03:06:09,38.421,-121.4238,93.02,38,1,4.0
105,Kodiak,US,2021-06-03 03:06:10,57.79,-152.4072,47.71,81,90,5.75
106,Bandar-E Anzali,IR,2021-06-03 03:06:10,37.4727,49.4622,75.31,82,1,12.01
107,Quatre Cocos,MU,2021-06-03 03:06:11,-20.2078,57.7625,75.09,66,52,19.82
108,Vaini,TO,2021-06-03 03:06:11,-21.2,-175.2,73.56,78,75,6.91
109,Ribeira Grande,PT,2021-06-03 03:06:12,38.5167,-28.7,59.81,66,25,3.36
110,Cidreira,BR,2021-06-03 03:06:13,-30.1811,-50.2056,59.95,85,31,3.33
111,Heiligenhafen,DE,2021-06-03 03:06:14,54.3667,10.9833,60.78,89,87,16.49
112,Saint-Philippe,RE,2021-06-03 03:06:14,-21.3585,55.7679,71.15,79,88,14.09
113,Alice Springs,AU,2021-06-03 03:04:35,-23.7,133.8833,60.35,59,75,13.6
114,Jiwani,PK,2021-06-03 03:06:15,25.05,61.7417,84.94,80,0,9.28
115,Ust-Nera,RU,2021-06-03 03:06:16,64.5667,143.2,58.57,32,33,2.21
116,Boo,SE,2021-06-03 03:06:16,59.3333,18.2833,50.59,87,3,2.59
117,Makakilo City,US,2021-06-03 03:06:17,21.3469,-158.0858,84.52,52,1,11.5
118,Montague,US,2021-06-03 03:06:18,42.5356,-72.5351,67.91,90,100,3.96
119,Norman Wells,CA,2021-06-03 03:06:18,65.282,-126.8329,47.71,81,100,2.82
120,Gatton,AU,2021-06-03 03:06:19,-27.55,152.2833,63.99,97,100,1.05
121,Yellowknife,CA,2021-06-03 03:05:49,62.456,-114.3525,62.56,67,100,5.99
122,Soyo,AO,2021-06-03 03:06:20,-6.1349,12.3689,74.77,89,29,4.03
123,Georgetown,MY,2021-06-03 03:05:39,5.4112,100.3354,88.9,76,20,5.03
124,Aden,YE,2021-06-03 03:06:21,12.7794,45.0367,86.58,73,50,11.95
125,Hofn,IS,2021-06-03 03:03:10,64.2539,-15.2082,46.8,93,100,1.36
126,Trapani,IT,2021-06-03 03:06:22,37.8333,12.6667,66.7,78,11,2.77
127,Thompson,CA,2021-06-03 03:06:22,55.7435,-97.8558,55.15,79,100,7.87
128,Faya,SA,2021-06-03 03:06:23,18.3851,42.4509,66.72,22,3,1.79
129,Lanzhou,CN,2021-06-03 03:01:46,36.0564,103.7922,66.9,16,98,3.2
130,Kongoussi,BF,2021-06-03 03:06:24,13.3258,-1.5347,90.25,41,0,10.76
131,Hermanus,ZA,2021-06-03 03:01:44,-34.4187,19.2345,55.9,84,11,11.63
132,Nanortalik,GL,2021-06-03 03:06:25,60.1432,-45.2371,38.39,93,100,14.07
133,Zhigansk,RU,2021-06-03 03:06:26,66.7697,123.3711,69.37,52,96,7.72
134,Lazaro Cardenas,MX,2021-06-03 03:06:26,17.9583,-102.2,82.09,75,81,5.79
135,Byron Bay,AU,2021-06-03 03:03:05,-28.65,153.6167,71.55,66,84,10.58
136,Choszczno,PL,2021-06-03 03:06:27,53.169,15.4205,55.26,88,5,8.1
137,Rio Grande,BR,2021-06-03 03:05:34,-32.035,-52.0986,58.14,78,96,7.4
138,Tres Coroas,BR,2021-06-03 03:06:28,-29.5169,-50.7778,63.86,90,10,2.86
139,Maceio,BR,2021-06-03 03:06:29,-9.6658,-35.7353,72.84,94,20,5.28
140,Senno,RU,2021-06-03 03:06:30,59.5336,33.9167,46.26,68,85,2.82
141,Port Hardy,CA,2021-06-03 03:06:31,50.6996,-127.4199,57.92,89,100,7.47
142,Petatlan,MX,2021-06-03 03:06:32,17.5167,-101.2667,81.61,74,68,1.9
143,Ventspils,LV,2021-06-03 03:06:32,57.3894,21.5606,55.33,82,0,0.0
144,Mitu,CO,2021-06-03 03:06:33,1.1983,-70.1733,71.29,97,26,1.57
