,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sinnamary,GF,5.3833,-52.95,75.42,88,100,2.24,moderate rain
80,Rio Gallegos,AR,-51.6226,-69.2181,42.85,75,75,17.27,broken clouds
81,Georgetown,MY,5.4112,100.3354,87.89,69,20,3,few clouds
82,Bethel,US,41.3712,-73.414,65.05,77,90,3.44,overcast clouds
83,Constantine,DZ,36.365,6.6147,60.21,63,0,3.44,clear sky
84,Soyo,AO,-6.1349,12.3689,75.7,94,33,5.68,scattered clouds
85,Ishinomaki,JP,38.4167,141.3,73.4,75,38,10.87,scattered clouds
86,Ponta Do Sol,PT,32.6667,-17.1,70.43,76,0,5.59,clear sky
87,Zhanaozen,KZ,43.3,52.8,75.13,48,43,14.07,scattered clouds
88,Port Macquarie,AU,-31.4333,152.9167,65.89,39,33,1.88,scattered clouds
89,Coahuayana,MX,18.7333,-103.6833,80.47,78,100,1.95,overcast clouds
90,Bambous Virieux,MU,-20.3428,57.7575,75.45,73,75,13.8,broken clouds
91,Lebu,CL,-37.6167,-73.65,54.37,94,82,3.27,broken clouds
92,Sile,TR,41.1754,29.6133,61.57,74,0,1.99,clear sky
93,Rawson,AR,-43.3002,-65.1023,59.95,58,91,21.63,overcast clouds
94,Davidson,US,36.1501,-86.7833,77.2,85,1,3,clear sky
95,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,71,75,9.22,broken clouds
96,Fare,PF,-16.7,-151.0167,76.23,85,86,20.47,light rain
97,Luanda,AO,-8.8368,13.2343,75.2,94,75,3.44,broken clouds
98,Balkanabat,TM,39.5108,54.3671,79.07,47,0,4.05,clear sky
99,Bayshore Gardens,US,27.4253,-82.5904,84,70,1,4.61,clear sky
100,Bredasdorp,ZA,-34.5322,20.0403,47.52,87,100,1.14,overcast clouds
101,Esperance,AU,-33.8667,121.9,60.64,74,100,7.47,light rain
102,New Norfolk,AU,-42.7826,147.0587,58.91,83,100,1.01,overcast clouds
103,Kamenka,RU,51.3223,42.7678,63.45,84,29,4.05,scattered clouds
104,Bela,IN,25.9333,81.9833,91.78,49,56,12.71,broken clouds
105,Manaia,NZ,-39.55,174.1333,61.81,77,39,3.24,scattered clouds
106,George Town,MY,5.4112,100.3354,87.75,70,20,1.01,few clouds
107,Tessalit,ML,20.1986,1.0114,91.11,11,0,7.45,clear sky
108,Nikolskoye,RU,59.7035,30.7861,63.01,93,100,4.03,overcast clouds
109,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.4,81,90,6.91,overcast clouds
110,Kapaa,US,22.0752,-159.319,84.18,70,40,4,scattered clouds
111,Kapoeta,SS,4.7717,33.5903,79.43,47,78,17.69,broken clouds
112,Masuguru,TZ,-11.3667,38.4167,62.44,87,0,2.77,clear sky
113,Pisco,PE,-13.7,-76.2167,62.65,82,90,13.8,overcast clouds
114,Jamestown,US,42.097,-79.2353,69.44,88,20,11.5,few clouds
115,Cabedelo,BR,-6.9811,-34.8339,72.27,85,37,11.32,scattered clouds
116,Arman,RU,59.7,150.1667,57.65,50,1,9.84,clear sky
117,Saint George,US,37.1041,-113.5841,88.39,4,1,9.22,clear sky
118,Gat,IL,31.61,34.7642,73.4,57,0,5.64,clear sky
119,Bonavista,CA,48.6499,-53.1147,44.6,86,97,5.06,light rain
120,Brae,GB,60.3964,-1.353,49.91,80,100,21.56,overcast clouds
121,Khatanga,RU,71.9667,102.5,44.02,48,100,1.81,overcast clouds
122,Asau,RO,46.4333,26.4,57.4,91,78,3.83,broken clouds
123,Dikson,RU,73.5069,80.5464,32.2,95,100,4.97,overcast clouds
124,Castro,BR,-24.7911,-50.0119,48.51,94,0,3.67,clear sky
125,Coquimbo,CL,-29.9533,-71.3436,51.53,100,90,1.14,fog
126,Vao,NC,-22.6667,167.4833,72.84,73,100,16.46,overcast clouds
127,Smithers,CA,54.7804,-127.1743,61.95,46,84,3.11,broken clouds
128,Batagay-Alyta,RU,67.8006,130.4114,57.65,35,40,23.73,scattered clouds
129,Norman Wells,CA,65.282,-126.8329,59.04,63,90,6.91,overcast clouds
130,Puerto Ayora,EC,-0.7393,-90.3518,72.55,91,28,5.01,scattered clouds
131,Yar-Sale,RU,66.8333,70.8333,60.31,62,100,14.67,overcast clouds
132,Kupang,ID,-10.1667,123.5833,88.38,58,20,14.97,few clouds
133,Port Lincoln,AU,-34.7333,135.8667,58.17,58,100,6.62,overcast clouds
134,Teya,RU,60.3778,92.6267,58.37,41,61,10.78,broken clouds
135,Byron Bay,AU,-28.65,153.6167,70.05,44,8,4.99,clear sky
136,Aksha,RU,50.2814,113.2867,63.27,72,100,6.13,overcast clouds
137,Gwadar,PK,25.1216,62.3254,84.16,78,100,9.35,overcast clouds
138,Nishihara,JP,26.1842,127.7558,87.85,75,75,6.91,broken clouds
139,Torbay,CA,47.6666,-52.7314,45.75,89,90,8.05,overcast clouds
140,Russell,US,32.3502,-85.1999,74.97,91,75,0,broken clouds
141,Katsuura,JP,35.1333,140.3,80.71,65,99,10.42,overcast clouds
142,College,US,64.8569,-147.8028,67.98,49,75,10.36,broken clouds
143,Sibiti,CG,-3.6819,13.3499,69.71,94,87,3.78,overcast clouds
144,Visby,SE,57.6409,18.296,62.82,88,20,10.36,few clouds
145,Port Elizabeth,ZA,-33.918,25.5701,52.09,82,0,6.91,clear sky
146,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,66.79,56,75,2.24,broken clouds
147,Mahebourg,MU,-20.4081,57.7,75.49,73,75,13.8,broken clouds
148,Curup,ID,-3.4667,102.5333,82.11,52,48,1.21,scattered clouds
149,Guerrero Negro,MX,27.9769,-114.0611,62.51,81,5,19.6,clear sky
150,Puerto Suarez,BO,-18.95,-57.8,64.08,75,100,3.22,overcast clouds
151,Dunedin,NZ,-45.8742,170.5036,53.8,61,4,8.01,clear sky
152,Kovur,IN,14.4833,79.9833,90.43,46,100,20.83,overcast clouds
153,Ouango,CF,4.3133,22.5552,71.33,76,99,1.36,overcast clouds
154,Clyde River,CA,70.4692,-68.5914,37.63,81,1,10.36,clear sky
155,Nanortalik,GL,60.1432,-45.2371,36.84,91,100,2.33,overcast clouds
156,Narsaq,GL,60.9167,-46.05,43.02,82,92,2.35,overcast clouds
157,Hualmay,PE,-11.0964,-77.6139,64.08,86,26,6.8,scattered clouds
158,Rudnichnyy,RU,59.617,52.4703,61.29,57,7,6.02,clear sky
159,Tambacounda,SN,13.7539,-13.7586,80.65,89,0,2.3,clear sky
160,Kavieng,PG,-2.5744,150.7967,83.73,75,9,14.36,light rain
161,Bosaso,SO,11.2842,49.1816,89.71,44,42,9.19,scattered clouds
162,Balakhta,RU,55.38,91.6,57.33,51,93,12.75,overcast clouds
163,Strezhevoy,RU,60.7333,77.5889,62.58,81,100,10.07,overcast clouds
164,Bambanglipuro,ID,-7.95,110.2833,84.47,69,9,5.37,clear sky
165,Thompson,CA,55.7435,-97.8558,55.56,94,90,8.05,overcast clouds
166,Nizwa,OM,22.9333,57.5333,90.91,42,0,0.72,clear sky
167,Cockburn Town,TC,21.4612,-71.1419,80.24,78,39,17.65,scattered clouds
168,Talcahuano,CL,-36.7167,-73.1167,53.28,100,90,8.05,fog
169,Laguna,US,38.421,-121.4238,79.45,45,1,5.01,clear sky
170,Klaksvik,FO,62.2266,-6.589,47.32,89,98,20.96,overcast clouds
