City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Tecolutla,MX,78.6,overcast clouds,20.4833,-97.0167,Hotel Plaza Marsol
224,Nador,MA,71.67,broken clouds,35.174,-2.9287,Hôtel La Giralda
231,San Patricio,US,82.85,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
239,Changde,CN,81.66,light rain,29.0464,111.6783,Kangshida Hotel
241,Pacific Grove,US,72.0,clear sky,36.6177,-121.9166,Lovers Point Inn
243,Nara,JP,83.57,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
247,Bellavista,PE,70.79,broken clouds,-7.0561,-76.5911,Hospedaje Bella Durmiente
249,Yenagoa,NG,73.53,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
251,Arraial Do Cabo,BR,71.71,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
253,Akyab,MM,81.79,light rain,20.15,92.9,Hotel Memory
258,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
263,Komsomolskiy,UZ,81.82,broken clouds,40.4272,71.7189,Ikathouse
264,Matara,LK,82.49,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
265,Port Blair,IN,84.58,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
271,Fort-Shevchenko,KZ,74.73,few clouds,44.5086,50.263,Oasis hotel Bautino
274,Shimabara,JP,81.99,moderate rain,32.7833,130.3667,Hotel Nampuro
276,Garut,ID,80.4,scattered clouds,-7.2024,107.8878,favehotel
283,Shimoda,JP,82.17,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
284,Baculin,PH,83.61,overcast clouds,7.4525,126.5842,Shovy's Cove
285,Mount Isa,AU,76.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
286,Pitimbu,BR,72.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
287,Vinh,VN,77.49,moderate rain,18.6667,105.6667,Khách Sạn Thương Mại
291,Sao Joao Da Barra,BR,70.39,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
292,Touros,BR,72.5,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
293,Mahibadhoo,MV,83.01,broken clouds,3.7833,72.9667,Omadhoo Inn
295,Guane,CU,77.7,broken clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
299,Cansancao,BR,70.36,overcast clouds,-10.6672,-39.4992,MIGUEL
300,Daru,PG,82.94,few clouds,-9.0763,143.2092,Daru Lodge
303,Pueblo,US,72.79,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
305,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
307,Grand Gaube,MU,75.6,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
309,Santo Antonio Do Ica,BR,73.53,overcast clouds,-3.1022,-67.9397,HOTEL AMAZON WAY
310,Piacabucu,BR,73.36,clear sky,-10.4056,-36.4344,Piaçabuçu News
315,Spencer,US,75.76,clear sky,43.1414,-95.1444,Days Inn by Wyndham Hotel Spencer IA
320,Santa Maria Da Vitoria,BR,72.09,overcast clouds,-13.3947,-44.1886,Pousada Rio Current
323,Plastun,RU,76.93,scattered clouds,44.7561,136.2939,Gostinitsa Rossiyanochka
330,Mareeba,AU,76.44,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
338,Biak,ID,83.7,overcast clouds,-0.9131,122.8766,Penginapan Kim
339,Tutoia,BR,76.8,few clouds,-2.7619,-42.2744,Pousada Guará's
340,Selaphum,TH,82.02,light rain,16.0299,103.9383,ศิวิไลซ์โปรเจคท์
343,Caravelas,BR,72.55,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
